id,mean,sd,SiteName
1,6.458333333333333,3.608439182435161,CBC 30 N
2,10.263157894736842,6.230231895658798,CBC Central
3,7,4.031128874149275,CBC Central
4,12.333333333333334,8.099088720049812,CBC Central
5,12.5,11.814539065631521,CBC House Reef
6,25.833333333333332,16.98038083593337,CBC Lagoon
7,16.125,8.753758591238636,CBC Lagoon
8,16.25,13.413955812001014,CBC Lagoon
9,11.5625,6.38194066618193,CBC30N
10,12.5,11.381803659589922,CBC30N
11,9.25,5.407042732502778,CCMI Lagoon
12,12,18.489862087100597,CCMI Lagoon
13,16.05263157894737,9.871247158684472,Cumbers Caves
14,12,9.410240782198263,Cumbers Caves
15,16.842105263157894,11.299032199926273,Curlew Patch
16,13.157894736842106,10.69923755276638,Curlew Patch
17,10.294117647058824,8.379772564651985,Curlew Patch
18,5.15625,3.2234492395569068,Henrys Beach
19,12.916666666666666,13.39238815917686,House Reef
20,10.227272727272727,7.025001733142089,Jigsaw Puzzle
21,13.4375,9.698582370635412,Jigsaw Puzzle
22,12.75,7.158910531638177,Marthas Finyard
23,17.5,14.88380924957646,Marthas Finyard
24,16.666666666666668,14.478100172860547,Meadows
25,7.672413793103448,5.587415486847215,NA
26,8.076923076923077,4.581876225258572,Pizza Hut
27,12.884615384615385,11.763562821543916,SR30N
28,13.833333333333334,7.841434514047494,SR30N
29,7.1875,6.046693311223912,Sailfin
30,11.805555555555555,7.989218633826775,Sailfin
31,10.113636363636363,6.878073889752889,Sarahs Set
32,15.75,8.851850832334147,Sarahs Set
33,7.083333333333333,6.4881112995458174,Snapshot
34,16.842105263157894,16.80860612204599,Snapshot
35,10.441176470588236,7.354595402155836,South Reef Central
36,9.117647058823529,7.54886045159447,South Reef Central
37,8.166666666666666,5.547414670259428,South Reef Central
38,10.543478260869565,7.3064620269853355,Splash House
39,7.666666666666667,5.466347261284484,Tibbetts Top
40,7.03125,5.261396360916621,Tobacco Reef
